gene	count
ENSGGOG00000000812	0
ENSGGOG00000000813	316
ENSGGOG00000000814	770
ENSGGOG00000000816	28
ENSGGOG00000000817	260
ENSGGOG00000000819	0
ENSGGOG00000000820	98
ENSGGOG00000000821	223
ENSGGOG00000000822	2070
ENSGGOG00000000824	1407
ENSGGOG00000000826	23
ENSGGOG00000000828	37
ENSGGOG00000000829	884
ENSGGOG00000000830	9
ENSGGOG00000000831	1066
ENSGGOG00000000832	1304
ENSGGOG00000000833	1341
ENSGGOG00000000834	2540
ENSGGOG00000000835	2055
ENSGGOG00000000836	269
ENSGGOG00000000840	0
ENSGGOG00000000841	270
ENSGGOG00000000842	60
ENSGGOG00000000844	149
ENSGGOG00000000846	289
ENSGGOG00000000847	1820
ENSGGOG00000000848	1157
ENSGGOG00000000849	142
ENSGGOG00000000850	47
ENSGGOG00000000851	369
ENSGGOG00000000853	0
ENSGGOG00000000854	509
ENSGGOG00000000856	0
ENSGGOG00000000857	8
ENSGGOG00000000858	1400
ENSGGOG00000000859	600
ENSGGOG00000000860	1901
ENSGGOG00000000861	1032
ENSGGOG00000000862	82
ENSGGOG00000000863	585
ENSGGOG00000000864	56
ENSGGOG00000000866	2
ENSGGOG00000000867	594
ENSGGOG00000000868	167
ENSGGOG00000000869	338
ENSGGOG00000000870	10
ENSGGOG00000000871	0
ENSGGOG00000000872	2198
ENSGGOG00000000873	1097
ENSGGOG00000000875	2
ENSGGOG00000000876	26
ENSGGOG00000000878	257
ENSGGOG00000000880	0
ENSGGOG00000000881	901
ENSGGOG00000000882	118
ENSGGOG00000000883	12
ENSGGOG00000000884	0
ENSGGOG00000000885	439
ENSGGOG00000000887	10505
ENSGGOG00000000888	626
ENSGGOG00000000889	44
ENSGGOG00000000890	472
ENSGGOG00000000891	413
ENSGGOG00000000892	0
ENSGGOG00000000893	398
ENSGGOG00000000894	353
ENSGGOG00000000896	81
ENSGGOG00000000897	438
ENSGGOG00000000898	556
ENSGGOG00000000899	193
ENSGGOG00000000900	936
ENSGGOG00000000901	1239
ENSGGOG00000000902	487
ENSGGOG00000000904	69
ENSGGOG00000000905	50
ENSGGOG00000000906	596
ENSGGOG00000000907	26
ENSGGOG00000000908	869
ENSGGOG00000000909	55
ENSGGOG00000000910	0
ENSGGOG00000000911	5
ENSGGOG00000000912	115
ENSGGOG00000000913	17
ENSGGOG00000000914	190
ENSGGOG00000000915	977
ENSGGOG00000000917	0
ENSGGOG00000000918	4466
ENSGGOG00000000919	18
