gene	count
ENSPTRG00000001264	9
ENSPTRG00000001265	11
ENSPTRG00000001266	234
ENSPTRG00000001267	177
ENSPTRG00000001268	248
ENSPTRG00000001269	1
ENSPTRG00000001270	75
ENSPTRG00000001272	8
ENSPTRG00000001274	23
ENSPTRG00000001275	45
ENSPTRG00000001276	326
ENSPTRG00000001277	0
ENSPTRG00000001278	202
ENSPTRG00000001279	98
ENSPTRG00000001280	7
ENSPTRG00000001281	387
ENSPTRG00000001282	276
ENSPTRG00000001284	237
ENSPTRG00000001285	422
ENSPTRG00000001286	266
ENSPTRG00000001287	28
ENSPTRG00000001288	383
ENSPTRG00000001289	1261
ENSPTRG00000001291	84
ENSPTRG00000001292	59
ENSPTRG00000001293	1514
ENSPTRG00000001294	9
ENSPTRG00000001295	389
ENSPTRG00000001296	17
ENSPTRG00000001297	30
ENSPTRG00000001298	1
ENSPTRG00000001300	30
ENSPTRG00000001301	378
ENSPTRG00000001302	177
ENSPTRG00000001303	26
ENSPTRG00000001305	0
ENSPTRG00000001312	12
ENSPTRG00000001313	11
ENSPTRG00000001314	0
ENSPTRG00000001315	0
ENSPTRG00000001316	0
ENSPTRG00000001319	0
ENSPTRG00000001320	0
ENSPTRG00000001321	0
ENSPTRG00000001327	0
ENSPTRG00000001333	0
ENSPTRG00000001334	0
ENSPTRG00000001337	0
ENSPTRG00000001342	0
ENSPTRG00000001344	4
ENSPTRG00000001345	1
ENSPTRG00000001346	0
ENSPTRG00000001347	0
ENSPTRG00000001348	0
ENSPTRG00000001351	467
ENSPTRG00000001352	9
ENSPTRG00000001353	0
ENSPTRG00000001354	3
ENSPTRG00000001355	701
ENSPTRG00000001356	577
ENSPTRG00000001357	0
ENSPTRG00000001358	0
ENSPTRG00000001359	0
ENSPTRG00000001360	297
ENSPTRG00000001362	49
ENSPTRG00000001364	522
ENSPTRG00000001365	694
ENSPTRG00000001366	273
ENSPTRG00000001367	101
ENSPTRG00000001368	31
ENSPTRG00000001369	463
ENSPTRG00000001370	63
ENSPTRG00000001371	5
ENSPTRG00000001372	36
ENSPTRG00000001375	1532
ENSPTRG00000001377	0
ENSPTRG00000001378	1246
ENSPTRG00000001379	823
ENSPTRG00000001380	352
ENSPTRG00000001381	2
ENSPTRG00000001382	500
ENSPTRG00000001383	5
ENSPTRG00000001385	28
ENSPTRG00000001386	4
ENSPTRG00000001387	564
ENSPTRG00000001389	629
ENSPTRG00000001392	20
ENSPTRG00000001393	181
ENSPTRG00000001394	537
ENSPTRG00000001395	360
ENSPTRG00000001397	151
ENSPTRG00000001398	11
ENSPTRG00000001399	135
ENSPTRG00000001401	114
ENSPTRG00000001402	3
ENSPTRG00000001403	1
ENSPTRG00000001404	208
ENSPTRG00000001405	1
ENSPTRG00000001406	254
ENSPTRG00000001407	46
ENSPTRG00000001408	63
ENSPTRG00000001409	127
ENSPTRG00000001410	111
ENSPTRG00000001411	309
ENSPTRG00000001412	14
ENSPTRG00000001413	92
ENSPTRG00000001414	9
ENSPTRG00000001415	26
ENSPTRG00000001416	135
ENSPTRG00000001417	414
ENSPTRG00000001418	260
ENSPTRG00000001419	179
ENSPTRG00000001420	92
ENSPTRG00000001421	5
ENSPTRG00000001422	350
ENSPTRG00000001424	1300
ENSPTRG00000001425	626
ENSPTRG00000001427	0
ENSPTRG00000001428	148
ENSPTRG00000001429	711
ENSPTRG00000001430	189
ENSPTRG00000001433	461
ENSPTRG00000001436	3905
ENSPTRG00000001437	126
ENSPTRG00000001438	291
ENSPTRG00000001439	2
ENSPTRG00000001441	713
ENSPTRG00000001442	311
ENSPTRG00000001444	295
ENSPTRG00000001445	0
ENSPTRG00000001446	2
ENSPTRG00000001447	123
ENSPTRG00000001448	402
ENSPTRG00000001449	38
ENSPTRG00000001450	0
ENSPTRG00000001451	21
ENSPTRG00000001453	0
ENSPTRG00000001455	0
ENSPTRG00000001456	4
ENSPTRG00000001457	0
ENSPTRG00000001458	0
ENSPTRG00000001459	395
ENSPTRG00000001460	1620
ENSPTRG00000001461	17
ENSPTRG00000001462	4
ENSPTRG00000001463	267
ENSPTRG00000001464	161
ENSPTRG00000001467	1065
ENSPTRG00000001468	243
ENSPTRG00000001470	4
ENSPTRG00000001471	77
ENSPTRG00000001472	110
ENSPTRG00000001473	219
ENSPTRG00000001474	1045
ENSPTRG00000001475	574
