gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_R0126	10	4	11	15	24	36	4	4	7	11	1	6
CCNA_00998	12	13	9	33	47	36	11	21	14	10	15	12
CCNA_00999	105	80	77	63	98	70	27	51	51	41	22	31
CCNA_01000	4	4	4	5	14	8	4	5	4	4	0	2
CCNA_01001	5	15	4	20	26	28	12	25	11	19	5	8
CCNA_01002	1	6	3	24	23	35	11	25	8	12	4	6
CCNA_01003	2	3	3	10	16	15	3	12	5	3	2	3
CCNA_01004	2	4	2	12	21	30	5	11	6	6	4	8
CCNA_01005	4	6	3	4	15	18	9	8	6	8	2	6
CCNA_01006	4	9	16	6	26	25	7	16	16	15	4	6
CCNA_01007	52	96	75	57	76	70	75	105	76	121	67	126
CCNA_01008	6	15	7	34	47	60	18	43	33	22	8	8
CCNA_01009	3	6	2	28	34	60	6	40	15	7	7	9
CCNA_01010	12	23	14	74	92	140	52	86	54	28	18	10
CCNA_01011	11	23	7	78	94	163	43	76	62	44	10	19
CCNA_01012	15	30	8	126	138	155	49	99	77	46	17	23
CCNA_01013	10	31	3	132	142	162	54	111	61	36	13	16
CCNA_R0023	2	4	3	23	17	37	9	24	6	9	5	3
CCNA_01014	4	3	4	14	14	22	4	12	7	4	5	2
CCNA_01015	44	36	35	87	127	121	27	61	41	44	41	42
CCNA_01016	20	14	7	24	29	33	3	9	9	12	14	11
CCNA_01017	83	56	60	111	158	140	36	73	36	104	59	65
CCNA_01018	5	9	5	29	43	44	16	21	12	7	12	11
CCNA_R0127	20	20	21	31	35	44	12	30	16	23	22	12
CCNA_01019	31	32	23	77	80	105	28	72	45	48	32	21
CCNA_01020	4	11	5	26	27	47	20	18	15	9	3	5
CCNA_01021	16	19	14	128	157	186	53	89	62	50	28	29
CCNA_01022	21	29	11	73	107	124	32	52	28	30	21	25
CCNA_01023	29	41	17	127	132	172	35	74	55	40	25	28
CCNA_01024	38	27	42	114	132	133	34	51	40	40	34	49
CCNA_01025	111	71	98	190	217	264	52	53	47	104	67	89
CCNA_01026	73	77	77	137	157	167	35	62	63	75	31	63
CCNA_01027	13	19	10	39	64	51	10	19	18	22	9	14
CCNA_01028	186	108	102	414	445	503	49	83	73	168	123	174
CCNA_01029	58	34	26	198	259	288	56	100	70	83	56	76
CCNA_01030	3	8	4	7	13	22	3	11	9	11	4	9
CCNA_01031	11	15	2	36	60	63	21	43	15	18	9	22
CCNA_01032	11	10	18	45	76	82	17	29	16	29	15	15
CCNA_01033	35	31	24	105	101	123	36	69	35	37	17	17
CCNA_R0128	0	0	0	1	1	1	0	2	1	5	0	1
CCNA_01034	29	47	11	84	124	138	60	136	81	48	35	23
CCNA_01035	187	263	99	244	305	261	210	576	294	264	125	139
CCNA_R0129	181	255	89	222	269	210	194	543	276	249	115	125
CCNA_01036	18	29	11	73	83	94	30	53	41	38	17	22
CCNA_01037	42	22	29	62	95	77	14	27	21	30	27	21
CCNA_01038	29	12	18	48	73	71	8	8	9	29	21	36
CCNA_01039	2	3	2	24	26	28	8	17	10	7	7	11
CCNA_01040	10	5	4	35	37	59	11	27	14	16	14	14
CCNA_01041	5	1	5	12	12	18	3	9	6	4	7	7
CCNA_R0130	1	1	0	0	0	8	1	2	2	3	4	3
CCNA_01042	125	129	88	364	421	511	130	154	129	108	104	112
CCNA_01043	7	9	8	33	29	48	5	14	17	8	7	9
CCNA_01044	17	9	19	55	60	57	15	22	14	24	10	19
CCNA_01045	47	31	35	77	84	90	16	25	18	36	15	33
CCNA_01046	247	85	153	197	260	325	20	36	28	127	98	152
CCNA_R0024	3	12	3	17	7	22	10	26	13	5	8	10
